date,ret_equity,ret_bond,ret_commodity,corr_eq_bond_30d,vol_eq_30d,corr_shift_30v90,beta_eq_on_bond_60d,regime_corr_pos
2018-01-01,-0.0041314993772288,0.0023240893335785,-0.0023385423615946,,,,,0
2018-01-02,-0.0140964608572141,0.0004273858298757,-0.006564962156005,,,,,0
2018-01-03,-0.0168638484119232,-0.0002139223647795,-0.0007045309576251,,,,,0
2018-01-04,-0.0040707572570597,-0.0009053625421238,-0.0045359806404962,,,,,0
2018-01-05,0.0017897484454148,-0.0048028160530642,-0.0123466135219883,,,,,0
2018-01-08,0.0080451143769775,0.0006348942428978,-0.0039521476479923,,,,,0
2018-01-09,0.0124929474107424,0.0037687050785254,-0.005094892522773,,,,,0
2018-01-10,0.0021024906283123,-0.0042172700091814,0.0013151987397143,,,,,0
2018-01-11,0.0051663644427069,-0.0036283219865431,0.0027098347621066,,,,,0
2018-01-12,-0.0021129907382858,-0.0005087622612566,-0.0047732711710319,,,,,0
2018-01-15,0.0021436027745081,-0.0003224371563237,0.0135331179489446,,,,,0
2018-01-16,0.0086167956460916,-0.0041677188945619,0.0088161929535018,,,,,0
2018-01-17,0.0022843699057134,-0.0036648315411867,-0.0124884005177574,,,,,0
2018-01-18,-0.0031958245281255,0.0007395181298104,0.0039971765141176,,,,,0
2018-01-19,0.0018194069289633,-0.0043047580173286,-0.0013079657315951,,,,,0
2018-01-22,0.0085149889961896,0.002708246086491,-9.43058327445854e-06,,,,,0
2018-01-23,0.0008365801180391,0.0012598766894407,-0.0116702778976875,,,,,0
2018-01-24,0.005638624054589,0.0016261795042278,-0.0025187636976467,,,,,0
2018-01-25,0.0005603809561917,-0.0016590522131517,0.0021858424585396,,,,,0
2018-01-26,0.0027716492158169,0.002750785461037,0.0033482795375967,,,,,0
2018-01-29,0.0051826082084106,-0.0034571129083016,0.000686490737859,,,,,0
2018-01-30,0.0104498778012536,0.0032781513210239,0.0093931634017614,,,,,0
2018-01-31,-0.00111405851789,0.0011195245512635,0.0065564025716988,,,,,0
2018-02-01,0.0060846985886258,0.0041726646061072,0.0047402203689925,,,,,0
2018-02-02,-0.0032186518996439,-0.0075717957412147,0.0096540329150469,,,,,0
2018-02-05,-0.0079637167047711,-0.0002263037043993,-0.0021673899957993,,,,,0
2018-02-06,0.0036855815927972,-0.0005005925338044,-0.0121818067253105,,,,,0
